업소명,소재지(도로명),소재지(지번),소재지전화
(주)더리안,부산광역시 연제구 명륜로 3 (거제동),부산광역시 연제구 거제동 129번지 5호  ,051 -504 -8890
원조생생오징어,"부산광역시 연제구 고분로 237, 1층 (연산동)",부산광역시 연제구 연산동 477번지 24호  ,
빠빠,부산광역시 연제구 교대로24번길 14 (거제동),부산광역시 연제구 거제동 249번지 13호  ,051 -503 -5088
화성양푼이 동태탕,"부산광역시 연제구 거제천로136번길 5, 1층 (연산동)",부산광역시 연제구 연산동 1291번지 36호  ,
산더미 불고기,"부산광역시 연제구 법원남로10번길 7, 1층 (거제동)",부산광역시 연제구 거제동 1489번지 2호  ,051 -727 -3720
담락 참치일잔,부산광역시 연제구 신촌로 42 (거제동),부산광역시 연제구 거제동 41번지 22호  ,
혼스시,부산광역시 연제구 쌍미천로135번길 1 (연산동),부산광역시 연제구 연산동 639번지 30호  ,051 -852 -7602
혼참치,"부산광역시 연제구 쌍미천로161번길 35, 1층 (연산동)",부산광역시 연제구 연산동 620번지 3호  ,
뽈롱족발,"부산광역시 연제구 월드컵대로10번길 15, 1층 (연산동)",부산광역시 연제구 연산동 670번지 9호  ,
해동대구뽈찜,"부산광역시 연제구 과정로322번길 16, 1층 (연산동)",부산광역시 연제구 연산동 308번지 22호  ,
구포국수,"부산광역시 연제구 과정로237번길 23, 1층 (연산동)",부산광역시 연제구 연산동 413번지 1호  ,
핑거,"부산광역시 연제구 거제천로118번길 22, 1층 (연산동)",부산광역시 연제구 연산동 1498번지 1호  ,
식꾸29,"부산광역시 연제구 중앙대로1120번길 8, 2층 (연산동)",부산광역시 연제구 연산동 724번지 2호  ,
삼차회담,부산광역시 연제구 거제천로 41-1 (거제동),부산광역시 연제구 거제동 500번지 23호  ,051 -861 -5090
꼬지사케,"부산광역시 연제구 안연로 12-1, 1층 (연산동)",부산광역시 연제구 연산동 392번지 12호  ,
골목생선구이,"부산광역시 연제구 해맞이로109번길 11, 103호 (거제동, 거림빌라)",부산광역시 연제구 거제동 815번지 42호 거림빌라 103호,051 -507 -7983
종가돼지국밥연산점,"부산광역시 연제구 고분로13번길 25, 104,105호 (연산동, 한창타워빌딩)","부산광역시 연제구 연산동 603번지 7호 한창타워빌딩 104,105호 ",051 -851 -4777
디케이치킨 연제점,"부산광역시 연제구 중앙대로1038번길 57, 1층 (연산동)",부산광역시 연제구 연산동 1642번지 13호  ,
하모추어탕,"부산광역시 연제구 고분로236번길 40-1, 1층 (연산동)",부산광역시 연제구 연산동 489번지 9호  ,
불스떡볶이,"부산광역시 연제구 과정로 162, 103호 (연산동, 리치W아파트)",부산광역시 연제구 연산동 478번지 2호 리치W아파트 103호,051 -992 -5825
꼬꼬킹,"부산광역시 연제구 토곡로 21, 1층 (연산동)",부산광역시 연제구 연산동 40번지 12호  ,
시애틀비 호텔내 한식당,"부산광역시 연제구 거제천로154번길 42, 10층 (연산동)",부산광역시 연제구 연산동 1255번지 4호  ,
티에이블,부산광역시 연제구 중앙천로 90 (연산동),부산광역시 연제구 연산동 1310번지 55호  ,051 -852 -7592
연일칼국수,"부산광역시 연제구 과정로191번가길 45, 5,7호 (연산동)","부산광역시 연제구 연산동 414번지 1호  5,7호",
해중,"부산광역시 연제구 거제천로 126, 1층 (연산동)",부산광역시 연제구 연산동 1478번지 6호  ,
처갓집양념치킨,부산광역시 연제구 과정로 269-1 (연산동),부산광역시 연제구 연산동 381번지 2호  ,051 -868 -9011
통뼈,부산광역시 연제구 중앙대로1039번길 9 (연산동),부산광역시 연제구 연산동 1358번지 17호  ,051 -868 -8176
우리횟집,"부산광역시 연제구 토현로 10, 나동 1층 109,110호 (연산동, 망미주공아파트상가)",부산광역시 연제구 연산동 2220번지 3호  ,
국사랑,"부산광역시 연제구 안연로 33, 1층 (연산동)",부산광역시 연제구 연산동 2311번지  ,
특뿔하우스식육식당,"부산광역시 연제구 중앙대로1120번길 14-4, 1층 (연산동)",부산광역시 연제구 연산동 724번지 11호  ,051 -853 -3303
내가좋아하는 석쇠갈비,"부산광역시 연제구 거제천로 102-1, 1,2층 (연산동)",부산광역시 연제구 연산동 1505번지 52호  ,
미야,"부산광역시 연제구 중앙대로1043번길 14, 1,2층 (연산동)",부산광역시 연제구 연산동 1360번지 19호  ,
돼지고기가 종점,"부산광역시 연제구 온천천남로 186, 1층 (연산동)",부산광역시 연제구 연산동 460번지 38호  ,
오마쯔리,"부산광역시 연제구 안연로 17, 1층 (연산동)",부산광역시 연제구 연산동 384번지 16호  ,
대연삼겹대장,"부산광역시 연제구 과정로226번길 14, 1층 (연산동)",부산광역시 연제구 연산동 397번지 39호  ,
강쉐프,"부산광역시 연제구 과정로276번길 28, D동 1층 103,107호 (연산동, 연천시장)",부산광역시 연제구 연산동 364번지 1호  ,
국수의달인,"부산광역시 연제구 중앙대로1150번길 50-2, 1층 (연산동)",부산광역시 연제구 연산동 585번지 52호  ,
피자알볼로(연제구청점),"부산광역시 연제구 연수로 115, 1층 (연산동)",부산광역시 연제구 연산동 821번지 3호  ,051 -866 -8495
한주먹,부산광역시 연제구 진남로 610 (연산동),부산광역시 연제구 연산동 840번지 17호  ,
3대서가밀면,"부산광역시 연제구 월드컵대로111번길 14, 101호 (연산동, 나경위너스)",부산광역시 연제구 연산동 708번지 8호 나경위너스 101호,
더퍼브,"부산광역시 연제구 시청로32번길 24, 2층 (연산동)",부산광역시 연제구 연산동 1503번지 15호  ,
오늘도횟집,"부산광역시 연제구 안연로 33, C동 1층 109,110호 (연산동)",부산광역시 연제구 연산동 2311번지  ,
참참부자,"부산광역시 연제구 월드컵대로145번길 23, 1층 (연산동)",부산광역시 연제구 연산동 1287번지 1호  ,
닭강정 공장,"부산광역시 연제구 월드컵대로3번길 15, 1층 104호 (연산동)",부산광역시 연제구 연산동 788번지 35호  ,
이대푸드,"부산광역시 연제구 쌍미천로156번길 24, 1층 (연산동)",부산광역시 연제구 연산동 328번지 1호  ,051 -851 -8477
호우 양꼬지,"부산광역시 연제구 신촌로 30-1, 1층 (연산동)",부산광역시 연제구 연산동 1499번지 2호  ,
