,사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
108,2017092000100684.0,2017년 9월 20일 21시,수요일,부산광역시 부산진구 양정동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,31세,경상,35.17041,129.069162
109,2017092200100720.0,2017년 9월 22일 22시,금요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,여,37세,경상,35.148826,129.02067399999999
110,2017092700100078.0,2017년 9월 27일 05시,수요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,24세,상해없음,승용,남,38세,경상,35.176425,129.073979
111,2017093000100098.0,2017년 9월 30일 06시,토요일,부산광역시 부산진구 연지동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로부근,원동기,남,43세,상해없음,보행자,남,43세,경상,35.164984000000004,129.053348
112,2017100100100117.0,2017년 10월 1일 07시,일요일,부산광역시 부산진구 당감동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,20세,상해없음,승용,남,71세,경상,35.168156,129.03680400000002
113,2017100300100032.0,2017년 10월 3일 01시,화요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,이륜,남,22세,중상,35.157385,129.057793
114,2017101100100406.0,2017년 10월 11일 17시,수요일,부산광역시 부산진구 당감동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,72세,상해없음,승용,여,56세,경상,35.176719,129.016908
115,2017101400100075.0,2017년 10월 14일 04시,토요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,24세,기타불명,승용,남,52세,경상,35.164004999999996,129.06392
116,2017101500100096.0,2017년 10월 15일 06시,일요일,부산광역시 부산진구 전포동,중상사고,0,2,0,0,차대차 - 정면충돌,중앙선침범,포장 - 젖음/습기,비,단일로 - 기타,승용,남,31세,상해없음,승용,남,74세,중상,35.151769,129.07308999999998
117,2017102200100511.0,2017년 10월 22일 20시,일요일,부산광역시 부산진구 당감동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,보행자,여,23세,중상,35.167808,129.033063
