,소재지전체주소,소재지,x,y
164,부산광역시 중구 동광동3가 36번지 (지하1층) ,부산광역시 중구 동광동3가 36번지 ,129.0339859,35.10246186
165,부산광역시 중구 보수동1가 98-3번지 (2층) ,부산광역시 중구 보수동1가 98-3번지 ,129.0253692,35.10344246
166,부산광역시 중구 보수동1가 98-3번지 (3층) ,부산광역시 중구 보수동1가 98-3번지 ,129.0253692,35.10344246
167,부산광역시 중구 부평동2가 32-2번지 (3층) ,부산광역시 중구 부평동2가 32-2번지 ,129.0260572,35.09933962
168,부산광역시 중구 남포동4가 8-1번지 (지하1층) ,부산광역시 중구 남포동4가 8-1번지 ,129.0308372,35.0977132
169,부산광역시 중구 남포동4가 8-1번지 (2층) ,부산광역시 중구 남포동4가 8-1번지 ,129.0308372,35.0977132
170,부산광역시 중구 중앙동4가 78-2번지 (지하) ,부산광역시 중구 중앙동4가 78-2번지 ,129.0386257,35.11017724
171,부산광역시 중구 남포동5가 33번지 피프죤쇼핑몰 B동 901호,부산광역시 중구 남포동5가 33번지 피프죤쇼핑몰 B동 901호,129.0288984,35.09823951
172,부산광역시 중구 중앙동4가 48-1번지 (1층) ,부산광역시 중구 중앙동4가 48-1번지 ,129.035273,35.10536005
173,부산광역시 중구 창선동2가 46-3번지 외 2필지(4층소재) ,부산광역시 중구 창선동2가 46-3번지 외 2필지,129.0287509,35.09919002
174,부산광역시 중구 동광동1가 6-4번지 (1층) ,부산광역시 중구 동광동1가 6-4번지 ,129.0354544,35.09978054
175,부산광역시 중구 중앙동2가 57번지 (2층) ,부산광역시 중구 중앙동2가 57번지 ,129.0350224,35.10128014
176,부산광역시 중구 부평동2가 26-5번지 ,부산광역시 중구 부평동2가 26-5번지 ,129.0262169,35.09976591
177,부산광역시 중구 중앙동2가 13번지 지하1층 ,부산광역시 중구 중앙동2가 13번지 지하1층 ,129.0358805,35.10174515
178,부산광역시 중구 남포동5가 79-1번지 밀양빌딩3층 ,부산광역시 중구 남포동5가 79-1번지 밀양빌딩3층 ,129.0296465,35.09745198
179,부산광역시 중구 부평동2가 40-1번지 (3층) ,부산광역시 중구 부평동2가 40-1번지 ,129.0261905,35.09852273
